����_A
t	y	x
43.6	-36.08132264454753	321.3156834355337
43.7	-9.152678378428845	321.7904862763474
43.8	17.6039127311667	320.67701831540177
43.9	44.23407271780741	320.68959835988704
44.0	73.42534165349787	313.5457847168578
44.1	102.3563734870969	303.5505340876667
44.2	100.6113537117904	281.33915574963606
44.3	124.83260553129551	283.20232896652107
44.4	147.1906841339156	275.74963609898106
44.5	160.23289665211064	272.02328966521105
44.6	165.82241630276565	270.16011644832605
44.7	177.00145560407572	262.70742358078604
44.8	160.23289665211064	266.43377001455605
44.9	143.46433770014556	273.88646288209605
45.0	124.83260553129548	279.47598253275106
45.1	109.92721979621547	285.06550218340607
45.2	98.7481804949054	292.5181950509461
45.3	76.39010189228532	305.5604075691412
45.4	44.716157205240165	309.2867540029112
45.5	26.084425036390144	318.6026200873362
45.6	7.452692867540009	320.4657933042212
45.7	-70.8005822416302	318.6026200873362
45.8	-108.06404657933035	316.7394468704512
45.9	-108.06404657933035	316.7394468704512
46.0	-141.6011644832605	316.7394468704512
46.1	-154.64337700145552	303.6972343522562
46.2	-163.95924308588064	299.9708879184862
46.3	-173.27510917030565	294.3813682678311
46.4	-178.86462882096066	290.6550218340611
46.5	-182.59097525473067	288.7918486171761
46.6	-186.31732168850067	288.7918486171761
46.7	-173.27510917030565	294.3813682678311
46.8	-162.09606986899564	294.3813682678311
46.9	-162.09606986899564	299.9708879184862
47.0	-139.7379912663755	305.5604075691412
47.1	-137.8748180494905	305.5604075691412
47.2	-111.79039301310036	307.4235807860262
47.3	-95.02183406113534	313.0131004366812
47.4	-72.66375545851531	316.7394468704512
47.5	-54.032023289665176	322.3289665211062
47.6	-24.221251819505028	324.1921397379912
47.7	1.8631732168850021	316.7394468704512
47.8	39.12663755458516	307.4235807860262
47.9	61.48471615720524	305.5604075691412
48.0	98.7481804949054	292.5181950509461
48.1	119.24308588064048	286.92867540029107
48.2	139.73799126637556	281.33915574963606
48.3	150.91703056768563	273.88646288209605
48.4	173.2751091703057	279.47598253275106
48.5	171.4119359534207	268.29694323144105
48.6	169.54876273653565	264.57059679767104
48.7	167.5949018422112	267.0644275664683
48.8	149.05385735080063	277.61280931586606
48.9	132.28529839883555	279.47598253275106
49.0	104.3377001455604	288.7918486171761
49.1	67.0742358078603	299.9708879184862
49.2	52.16885007278023	314.8762736535662
49.3	26.084425036390144	313.0131004366812
49.4	-7.452692867540009	313.0131004366812
49.5	-44.716157205240165	316.7394468704512
49.6	-72.66375545851531	318.6026200873362
49.7	-98.74818049490534	314.8762736535662
49.8	-122.96943231441048	311.1499272197962
49.9	-139.7379912663755	305.5604075691412
50.0	-149.0538573508005	301.8340611353712
50.1	-177.00145560407566	299.9708879184862
50.2	-177.00145560407566	288.7918486171761
50.3	-188.18049490538567	298.1077147016011
50.4	-180.72780203784566	292.5181950509461
50.5	-165.82241630276565	294.3813682678311
50.6	-167.68558951965065	290.6550218340611
50.7	-163.95924308588064	296.2445414847161
50.8	-156.50655021834052	301.8340611353712
50.9	-145.3275109170305	299.9708879184862
51.0	-126.69577874818049	299.9708879184862
51.1	-121.10625909752537	305.5604075691412
51.2	-111.79039301310036	311.1499272197962
51.3	-108.06404657933035	311.1499272197962
51.4	-52.168850072780174	313.0131004366812
51.5	3.726346433770061	316.7394468704512
51.6	24.22125181950514	316.7394468704512
51.7	37.26346433770016	316.7394468704512
51.8	54.03202328966523	314.8762736535662
51.9	83.84279475982532	299.9708879184862
52.0	108.06404657933047	292.5181950509461
52.1	139.73799126637556	275.74963609898106
52.2	145.32751091703057	273.88646288209605
52.3	156.50655021834064	275.74963609898106
52.4	158.36972343522564	275.74963609898106
52.5	173.2751091703057	268.29694323144105
52.6	152.78020378457063	275.74963609898106
52.7	128.55895196506555	277.61280931586606
52.8	117.37991266375548	288.7918486171761
53.2	24.22125181950514	313.0131004366813
